time (ms), x-accel, y-accel, z-accel
6415.24999999092, -0.319901, 0.921219, 0.339661
6440.499999996973, -0.356842, 1.136261, 0.351379
6465.769999995246, -0.416275, 1.268265, 0.360855
6491.020000001299, -0.469147, 1.255127, 0.380524
6516.279999996186, -0.424515, 1.10379, 0.430939
6541.549999994459, -0.370911, 0.983459, 0.494843
6566.800000000512, -0.24472, 0.862579, 0.518066
6592.059999995399, -0.213715, 0.836929, 0.451172
6617.310000001453, -0.286255, 0.996658, 0.413696
6642.5599999929545, -0.372482, 1.039566, 0.372986
6667.829999991227, -0.412491, 0.942642, 0.321304
6693.0799999972805, -0.399796, 0.845261, 0.31102
6718.349999995553, -0.325607, 0.815536, 0.340576
6743.60999999044, -0.245651, 0.786789, 0.337021
6768.859999996494, -0.295746, 0.756653, 0.333954
6794.129999994766, -0.363556, 0.753403, 0.34407
6819.38000000082, -0.379303, 0.757202, 0.351395
6844.649999999092, -0.363907, 0.773605, 0.377747
6869.899999990594, -0.373077, 0.770157, 0.39769
6895.149999996647, -0.389603, 0.779236, 0.394043
6920.41999999492, -0.399231, 0.805161, 0.383774
6945.670000000973, -0.394791, 0.79245, 0.363586
6970.939999999246, -0.391037, 0.787735, 0.366501
6996.189999990747, -0.401672, 0.771866, 0.379944
7021.439999996801, -0.411179, 0.773712, 0.379639
7046.709999995073, -0.426895, 0.795746, 0.396622
7071.960000001127, -0.424637, 0.815872, 0.414368
7097.229999999399, -0.437057, 0.991165, 0.461426
7122.479999990901, -0.464355, 1.037918, 0.509598
7147.729999996955, -0.500015, 1.133957, 0.531311
7172.999999995227, -0.507614, 1.40715, 0.525589
7198.250000001281, -0.463303, 1.4422, 0.449295
7223.519999999553, -0.386032, 1.283112, 0.374695
7248.769999991055, -0.289444, 1.17569, 0.349945
7274.019999997108, -0.296555, 1.128632, 0.333298
7299.289999995381, -0.258362, 1.107635, 0.317657
7324.540000001434, -0.258377, 1.014023, 0.297211
7349.809999999707, -0.24617, 0.919113, 0.320663
7375.059999991208, -0.303604, 0.805908, 0.304504
7400.309999997262, -0.280029, 0.827454, 0.27182
7425.579999995534, -0.218491, 0.80452, 0.222412
7450.830000001588, -0.187775, 0.760605, 0.186539
7476.09999999986, -0.226944, 0.758286, 0.178833
7501.339999987977, -0.263443, 0.731567, 0.159821
7526.58999999403, -0.274536, 0.693634, 0.159775
7551.859999992303, -0.266098, 0.639511, 0.186462
7577.109999998356, -0.247925, 0.62471, 0.233841
7602.379999996629, -0.258926, 0.679291, 0.233551
7627.62999998813, -0.290161, 0.725922, 0.225571
7652.879999994184, -0.325424, 0.746567, 0.242203
7678.149999992456, -0.321426, 0.744156, 0.297348
7703.39999999851, -0.339828, 0.884781, 0.317093
7728.669999996782, -0.375885, 1.000229, 0.297745
7753.919999988284, -0.438217, 1.020233, 0.333221
7779.159999990952, -0.449554, 0.979156, 0.411728
7804.429999989225, -0.40564, 0.901688, 0.460938
7829.679999995278, -0.353333, 0.935669, 0.484161
7854.949999993551, -0.316269, 1.069138, 0.512878
7880.199999999604, -0.343674, 1.157944, 0.511444
7905.449999991106, -0.418793, 1.193054, 0.496582
7930.719999989378, -0.442276, 1.17955, 0.478531
7955.969999995432, -0.459412, 1.055267, 0.445419
7981.239999993704, -0.431503, 0.923279, 0.410309
8006.489999999758, -0.372253, 0.845688, 0.376846
8031.7399999912595, -0.332245, 0.782013, 0.337418
8057.009999989532, -0.346237, 0.750992, 0.342438
8082.2599999955855, -0.394989, 0.726913, 0.369324
8107.529999993858, -0.423584, 0.715683, 0.380814
8132.7799999999115, -0.441422, 0.716461, 0.382156
8158.029999991413, -0.455582, 0.732437, 0.405823
8183.299999989686, -0.459778, 0.753036, 0.453766
8208.539999992354, -0.449112, 0.801483, 0.464508
8233.809999990626, -0.456818, 0.840759, 0.463516
8259.05999999668, -0.473297, 0.876678, 0.472427
8284.309999988182, -0.477753, 0.874191, 0.498886
8309.580000001006, -0.471558, 0.886688, 0.499771
8334.819999989122, -0.458557, 1.016617, 0.511948
8360.090000001946, -0.452652, 1.087204, 0.561279
8385.339999993448, -0.443893, 1.067719, 0.5625
8410.589999999502, -0.439865, 1.167297, 0.520721
8435.859999997774, -0.393021, 1.359161, 0.471649
8461.109999989276, -0.338791, 1.307388, 0.415848
8486.3800000021, -0.293625, 1.173004, 0.409088
8511.629999993602, -0.263245, 1.084244, 0.385269
8536.86999999627, -0.268921, 0.992828, 0.345444
8562.139999994542, -0.22905, 0.921661, 0.373306
8587.390000000596, -0.314453, 0.889389, 0.329391
8612.659999998868, -0.347382, 0.890396, 0.315247
8637.90999999037, -0.301483, 0.872192, 0.324203
8663.159999996424, -0.238617, 0.844971, 0.267136
8688.429999994696, -0.227463, 0.812653, 0.241898
8713.68000000075, -0.243866, 0.73877, 0.227371
8738.949999999022, -0.237701, 0.683472, 0.226013
8764.199999990524, -0.258469, 0.656815, 0.236923
8789.449999996577, -0.284515, 0.63942, 0.235336
8814.71999999485, -0.303833, 0.62149, 0.256134
8839.959999997518, -0.307617, 0.638168, 0.251816
8865.22999999579, -0.329681, 0.676163, 0.251144
8890.480000001844, -0.351639, 0.69162, 0.270233
8915.729999993346, -0.347916, 0.686264, 0.303284
8940.999999991618, -0.321915, 0.713226, 0.345856
8966.249999997672, -0.364883, 0.882385, 0.37439
8991.519999995944, -0.424179, 0.948151, 0.349136
9016.759999998612, -0.509583, 0.96167, 0.375961
9042.009999990114, -0.529892, 0.882812, 0.483017
9067.279999988386, -0.499176, 0.94928, 0.532425
9092.519999991055, -0.473923, 0.960434, 0.536148
9117.789999989327, -0.481689, 0.897766, 0.493103
9143.03999999538, -0.452728, 0.888657, 0.44014
9168.279999998049, -0.392899, 0.939835, 0.382568
9193.549999996321, -0.35463, 0.941452, 0.348969
9218.78999999899, -0.371689, 0.87587, 0.311493
9244.059999997262, -0.390305, 0.83139, 0.296097
9269.29999999993, -0.408875, 0.813965, 0.283661
9294.549999991432, -0.428574, 0.818192, 0.261002
9319.819999989704, -0.449677, 0.84552, 0.269958
9345.059999992372, -0.464569, 0.799225, 0.347275
9370.329999990645, -0.458771, 0.745514, 0.387558
9395.579999996698, -0.470169, 0.757996, 0.367859
9420.8299999882, -0.480865, 0.77301, 0.383484
9446.100000001024, -0.480637, 0.77681, 0.433685
9471.349999992526, -0.519684, 0.80661, 0.517303
9496.619999990799, -0.574982, 0.851685, 0.552933
9521.869999996852, -0.588852, 0.887619, 0.552216
9547.119999988354, -0.578384, 0.907776, 0.537277
9572.390000001178, -0.607651, 0.98616, 0.518204
9597.63999999268, -0.578293, 1.114655, 0.549469
9622.909999990952, -0.539108, 1.049286, 0.54921
9648.159999997006, -0.511154, 0.956757, 0.521667
9673.399999999674, -0.479004, 1.032913, 0.455841
9698.669999997946, -0.434311, 1.21582, 0.403961
9723.910000000615, -0.421783, 1.242416, 0.388306
9749.179999998887, -0.42186, 1.198669, 0.362488
9774.429999990389, -0.40004, 1.19931, 0.371307
9799.679999996442, -0.388657, 1.178909, 0.366333
9824.949999994715, -0.369583, 1.145782, 0.331512
9850.200000000768, -0.33345, 1.106354, 0.311874
9875.46999999904, -0.335281, 1.023605, 0.271042
9900.719999990542, -0.288116, 0.962585, 0.237305
9925.969999996596, -0.245682, 0.86235, 0.195053
9951.239999994868, -0.239532, 0.784714, 0.157715
9976.490000000922, -0.257767, 0.723602, 0.133499
